source_path,source_folder,label,reason
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/101.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/101.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/108.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/108.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/110.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/110.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/112.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/112.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/114.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/114.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/120.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/120.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/128.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/128.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/132.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/132.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/137.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/137.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/138.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/138.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/14.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/14.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/141.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/141.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/142.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/142.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/143.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/143.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/148.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/148.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/15.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/15.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/154.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/154.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/155.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/155.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/163.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/163.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/166.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/166.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/167.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/167.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/168.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/168.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/172.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/172.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/175.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/175.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/178.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/178.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/18.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/18.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/182.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/182.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/184.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/184.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/190.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/190.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/195.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/195.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/199.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/199.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/21.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/21.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/23.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/23.jpg'
